along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip deficit rate (mm/yr),tile_geometry,,,,
33,5,165.23654619171924,-48.3881272548761,165.1954289583453,-48.51971486039422,17.57043348488591,25.1180932004653,29.646262790035347,6.557069,"POLYGON Z ((1039673.267806274 4609902.294683397 -29646.26279003535, 1025448.824453658 4611372.291784183 -25118.0932004653, 1023906.890868016 4596451.75423296 -25118.0932004653, 1038131.334220632 4594981.757132174 -29646.26279003535, 1039673.267806274 4609902.294683397 -29646.26279003535))"
33,6,165.40360243984344,-48.44871858474152,165.35917073741257,-48.57985987738683,18.773242670314886,30.34251371732792,35.16986729110395,6.566971,"POLYGON Z ((1052571.601662433 4604168.317578027 -35169.86729110395, 1038474.373612385 4605890.182491053 -30342.51371732792, 1036655.757707795 4591000.83609198 -30342.51371732792, 1050752.985757843 4589278.971178954 -35169.86729110395, 1052571.601662433 4604168.317578027 -35169.86729110395))"
34,0,164.35594270576,-48.2095830871746,164.31701341688165,-48.341313777697216,17.61505907452943,4.637118344681449,9.176424461974332,6.569707,"POLYGON Z ((972335.3673660388 4623007.578325633 -9176.424461974331, 958086.1919500317 4624171.923608341 -4637.118344681448, 956864.5660494257 4609221.752032103 -4637.118344681448, 971113.7414654329 4608057.406749395 -9176.424461974331, 972335.3673660388 4623007.578325633 -9176.424461974331))"
34,1,164.52477306286363,-48.27427083583552,164.48543998463967,-48.40598155408076,17.419554947796648,8.090824825021564,12.581321655458353,6.578280,"POLYGON Z ((985670.9209240947 4617176.216176872 -12581.32165545835, 971410.9982270458 4618396.889306757 -8090.824825021564, 970131.6519897769 4603451.546446682 -8090.824825021564, 984391.5746868259 4602230.873316797 -12581.32165545835, 985670.9209240947 4617176.216176872 -12581.32165545835))"
34,2,164.68924151735052,-48.33695690461284,164.64958073215618,-48.46865602095451,17.05750639107262,13.226874191848385,17.62684485138362,6.587058,"POLYGON Z ((998641.6229916866 4611508.021052278 -17626.84485138362, 984357.9939755248 4612780.106082411 -13226.87419184838, 983027.3761697524 4597839.240770959 -13226.87419184838, 997311.0051859142 4596567.155740825 -17626.84485138362, 998641.6229916866 4611508.021052278 -17626.84485138362))"
34,3,164.8560600338972,-48.40045511384126,164.81676048966386,-48.5322340631819,16.917501815232786,17.66252483877624,22.027441625132603,6.596475,"POLYGON Z ((1011753.65052245 4605791.72132296 -22027.4416251326, 997459.3334881098 4607064.514302965 -17662.52483877624, 996128.9686230433 4592123.626467037 -17662.52483877624, 1010423.285657384 4590850.833487032 -22027.4416251326, 1011753.65052245 4605791.72132296 -22027.4416251326))"
34,4,165.0254124675547,-48.464302337186936,164.98611897580088,-48.59611365589747,17.149251072104953,21.531464508714116,25.95439165623724,6.606370,"POLYGON Z ((1024996.25595581 4600004.716608169 -25954.39165623724, 1010721.967971135 4601301.797167839 -21531.46450871411, 1009364.535852693 4586363.344167483 -21531.46450871411, 1023638.823837367 4585066.263607814 -25954.39165623724, 1024996.25595581 4600004.716608169 -25954.39165623724))"
34,5,165.19642670958174,-48.52534196950946,165.15082100062224,-48.656286221295744,17.877354585662506,26.14388171831993,30.74858904502567,6.615664,"POLYGON Z ((1038210.171498248 4594064.204474792 -30748.58904502567, 1024044.631477109 4595834.55651461 -26143.88171831993, 1022184.462690973 4580950.34433905 -26143.88171831993, 1036350.002712112 4579179.992299233 -30748.58904502567, 1038210.171498248 4594064.204474792 -30748.58904502567))"
35,0,164.32106334646286,-48.34970235605665,164.2786579303593,-48.48096542675745,17.497135898874575,5.47003179411852,9.979903665078503,6.628482,"POLYGON Z ((971507.9806083129 4606926.996359814 -9979.903665078502, 957270.4551619727 4608324.824987486 -5470.03179411852, 955804.8142322637 4593396.600154467 -5470.03179411852, 970042.3396786039 4591998.771526795 -9979.903665078502, 971507.9806083129 4606926.996359814 -9979.903665078502))"
35,1,164.49089804542007,-48.41507229683764,164.44886850099067,-48.54642373456032,17.324257927908743,8.89592573033196,13.362611851133751,6.637317,"POLYGON Z ((984899.099411751 4601089.788741381 -13362.61185113375, 970647.9649785877 4602487.602200375 -8895.925730331961, 969183.7260437951 4587559.239787108 -8895.925730331961, 983434.8604769584 4586161.426328114 -13362.61185113375, 984899.099411751 4601089.788741381 -13362.61185113375))"
35,2,164.6604808828578,-48.47981792022292,164.61853356276865,-48.611214945394956,17.012328872297775,12.57076110271483,16.959423228465493,6.646519,"POLYGON Z ((998241.151583708 4595268.399910257 -16959.42322846549, 983968.0008085585 4596688.544866187 -12570.76110271483, 982482.8691984668 4581762.246460329 -12570.76110271483, 996756.0199736162 4580342.101504399 -16959.42322846549, 998241.151583708 4595268.399910257 -16959.42322846549))"
35,3,164.82683926078784,-48.54240718651139,164.78388904586862,-48.6736941736381,16.872626576620437,17.515638927974123,21.86931447785452,6.655760,"POLYGON Z ((1011267.314594864 4589555.335575706 -21869.31447785452, 996993.6246479758 4591074.31039659 -17515.63892797412, 995406.3201123626 4576158.531358563 -17515.63892797412, 1009680.010059251 4574639.556537679 -21869.31447785452, 1011267.314594864 4589555.335575706 -21869.31447785452))"
35,4,164.9970024119276,-48.60346036130809,164.94780011320353,-48.733813589446804,17.83896518180419,22.356591473840805,26.951732716936352,6.664662,"POLYGON Z ((1024392.158324653 4583647.218393779 -26951.73271693635, 1010251.999514668 4585632.309269386 -22356.59147384081, 1008166.64758362 4570777.97295558 -22356.59147384081, 1022306.806393604 4568792.882079973 -26951.73271693635, 1024392.158324653 4583647.218393779 -26951.73271693635))"
35,5,165.17246548490786,-48.6650852928493,165.11464408070344,-48.79391590467197,18.807315472366394,26.356523107899164,31.192321506537105,6.673861,"POLYGON Z ((1037833.44085068 4577522.219048686 -31192.3215065371, 1023877.339364306 4580137.995252755 -26356.52310789916, 1021114.024547956 4565394.722508017 -26356.52310789916, 1035070.12603433 4562778.946303949 -31192.3215065371, 1037833.44085068 4577522.219048686 -31192.3215065371))"
36,0,164.28112362181676,-48.48640236518059,164.23189070461206,-48.616620775307894,17.15391523378654,5.317381348404586,9.741475266850394,6.686442,"POLYGON Z ((970265.7104319122 4590939.68163143 -9741.475266850393, 956056.0590051222 4592814.034674454 -5317.381348404586, 954094.4453442637 4577942.852077044 -5317.381348404586, 968304.0967710537 4576068.499034019 -9741.475266850393, 970265.7104319122 4590939.68163143 -9741.475266850393))"
36,1,164.4507866228678,-48.551238894846485,164.40110050739221,-48.681419427298096,17.15084505888931,9.083144082868676,13.506469980035654,6.695182,"POLYGON Z ((983587.4679920432 4585108.603379138 -13506.46998003565, 969385.3131679101 4587040.69715502 -9083.144082868675, 967363.3040920658 4572177.60597932 -9083.144082868675, 981565.4589161989 4570245.512203437 -13506.46998003565, 983587.4679920432 4585108.603379138 -13506.46998003565))"
36,2,164.62139898053547,-48.614955510476726,164.56891969637783,-48.74469175380433,16.99679144570165,13.182995492411534,17.567767762723417,6.703992,"POLYGON Z ((996920.8168805824 4579209.598815445 -17567.76776272342, 982739.6690060002 4581370.343385434 -13182.99549241153, 980480.2349012191 4566541.48781509 -13182.99549241153, 994661.3827758014 4564380.743245101 -17567.76776272342, 996920.8168805824 4579209.598815445 -17567.76776272342))"
36,3,164.79383319035205,-48.678634456724176,164.73787838286322,-48.80777201931845,17.017306473328425,17.017121031904203,21.407029251272213,6.713186,"POLYGON Z ((1010331.525869606 4573252.484941139 -21407.02925127221, 996196.8019377674 4575689.344640884 -17017.1210319042, 993648.3623798478 4560907.414597089 -17017.1210319042, 1007783.086311686 4558470.554897345 -21407.02925127221, 1010331.525869606 4573252.484941139 -21407.02925127221))"
36,4,164.9709814753965,-48.73926547653884,164.90197998807412,-48.865657695717985,18.25354081770871,21.45081991537435,26.149157359467843,6.721310,"POLYGON Z ((1023770.325274092 4566968.561889012 -26149.15735946784, 1009933.134638047 4570353.496240395 -21450.81991537435, 1006368.844385658 4555783.120987962 -21450.81991537435, 1020206.035021703 4552398.186636579 -26149.15735946784, 1023770.325274092 4566968.561889012 -26149.15735946784))"
37,0,164.26521274543353,-48.625951970357306,164.19504018385447,-48.751911023401256,16.698447461400225,5.359591385436754,9.669609871146209,6.743154,"POLYGON Z ((970628.4534779284 4573803.128306638 -9669.609871146209, 956666.0071493017 4577190.4330129 -5359.591385436754, 953129.5719653389 4562613.271897318 -5359.591385436754, 967092.0182939656 4559225.967191056 -9669.609871146209, 970628.4534779284 4573803.128306638 -9669.609871146209))"
37,1,164.43414768673605,-48.690222223986346,164.36310920941202,-48.81601885502,17.028847810029855,9.554422815280187,13.94722016765052,6.751867,"POLYGON Z ((983819.8465764135 4568009.193469028 -13947.22016765052, 969902.7537453191 4571475.871785762 -9554.422815280188, 966277.118245843 4556920.640175617 -9554.422815280188, 980194.2110769374 4553453.961858884 -13947.22016765052, 983819.8465764135 4568009.193469028 -13947.22016765052))"
37,2,164.60355031764135,-48.75315175631126,164.52907794124886,-48.87812866540922,16.891517335097223,14.2720906018576,18.630498608084572,6.760556,"POLYGON Z ((996983.0137387709 4562142.783776158 -18630.49860808457, 983126.6379901228 4565885.126727242 -14272.0906018576, 979215.5577890357 4551403.98548559 -14272.0906018576, 993071.9335376838 4547661.642534506 -18630.49860808457, 996983.0137387709 4562142.783776158 -18630.49860808457))"
37,3,164.78315569648623,-48.81519096309399,164.69543103092226,-48.93642107209447,18.480352678450608,18.28222344795782,23.036915162923034,6.768372,"POLYGON Z ((1010486.682040848 4555749.656332995 -23036.91516292303, 997057.5791780005 4560445.623006076 -18282.22344795782, 992106.2862437401 4546286.361080426 -18282.22344795782, 1005535.389106588 4541590.394407345 -23036.91516292303, 1010486.682040848 4555749.656332995 -23036.91516292303))"
