%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
730,177,1.725,0.95716,3.7363
731,177,1.0625,0.50307,3.3079
732,177,0.525,0.20979,2.6854
733,178,0.63,0.23269,1.1321
734,178,0.43,0.13793,1.0189
735,178,0.59,0.19205,1.0951
736,178,0.6,0.21566,1.1157
737,178,0.64333,0.25165,1.139
738,178,0.76,0.31735,1.1982
739,179,0.33,0.098565,0.71499
740,179,0.35,0.10686,0.7494
741,179,0.29,0.075419,0.70871
742,180,0.45,0.16468,3.8248
743,180,0.55,0.23352,3.9069
744,180,0.58333,0.25144,4.4864
745,181,0.35,0.1565,3.8405
746,181,0.35,0.1565,3.8405
747,182,0.35,0.1565,3.8405
748,182,0.35,0.1565,3.8405
749,183,0.75,0.26853,3.3166
750,183,0.75,0.26853,3.3166
751,184,0.5,0.18241,5.6392
752,184,0.5,0.18241,5.6392
753,185,0.525,0.18947,2.8453
754,185,0.525,0.18947,2.8453
755,186,1.7,0.93793,8.3139
756,186,1.5667,0.85096,7.6556
757,186,1.3,0.64971,6.5664
758,186,1.3,0.59509,7.0213
759,187,0.41667,0.13459,0.75107
760,187,0.42333,0.13821,0.75902
761,187,0.35,0.091632,0.724
762,188,0.725,0.28672,2.7672
763,188,0.64167,0.26407,2.6775
764,188,0.475,0.21875,2.4983
765,188,0.175,0.075103,2.0639
766,188,0.175,0.075103,2.0639
767,189,0.49667,0.18894,0.80475
768,189,0.52,0.21108,0.82488
769,189,0.51,0.19342,0.8119
770,189,0.45,0.16613,0.77559
771,189,0.33,0.093796,0.70703
772,189,0.35,0.088821,0.72573
773,190,0.625,0.28592,1.9941
774,190,0.675,0.28753,2.0041
775,191,0.105,0.03968,1.3275
776,191,0.105,0.03968,1.3275
777,192,0.34167,0.12305,2.2184
778,192,0.245,0.089972,2.4145
779,193,0.575,0.22364,2.1067
