%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
740,179,0.25,0.067473,0.6278
741,179,0.19,0.061536,0.63015
742,180,0.25,0.085962,0.88014
743,180,0.22,0.073232,0.78277
744,180,0.25667,0.078366,0.813
745,181,0.255,0.07598,1.1635
746,181,0.255,0.07598,1.1635
747,182,0.255,0.07598,1.1635
748,182,0.255,0.07598,1.1635
749,183,0.435,0.12451,1.1539
750,183,0.435,0.12451,1.1539
751,184,0.405,0.11372,1.0613
752,184,0.405,0.11372,1.0613
753,185,0.29,0.097108,1.0225
754,185,0.29,0.097108,1.0225
755,186,1.65,0.81018,3.5661
756,186,1.6583,0.79636,3.5051
757,186,1.6333,0.8062,3.6557
758,186,1.55,0.88118,4.2009
759,187,0.33,0.097033,0.66449
760,187,0.275,0.080073,0.64391
761,187,0.2775,0.081849,0.64068
762,188,0.645,0.26384,1.4613
763,188,0.655,0.25426,1.3894
764,188,0.675,0.2351,1.2455
765,188,0.525,0.16677,1.1296
766,188,0.525,0.16677,1.1296
767,189,0.47667,0.16939,0.78586
768,189,0.46,0.15977,0.77492
769,189,0.47,0.15805,0.7864
770,189,0.43667,0.14211,0.77569
771,189,0.43,0.10702,0.75859
772,189,0.35,0.10403,0.70978
773,190,0.29,0.078314,0.94154
774,190,0.34,0.096135,0.98298
775,191,0.05,0.015914,0.57829
776,191,0.05,0.015914,0.57829
777,192,0.29,0.06129,0.86548
778,192,0.226,0.060571,0.87769
