%slip deficit rates, uniform stddev and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId,parentSectionId,slip deficit rate (most probable rate),uniform stddev,lower 95 confidence level,upper 95 confidence level
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
348,39,4.55,1.8463999999999998,3.4693,7.1621
349,39,4.95,1.89415,3.8904,7.6787
350,39,5.35,1.9419499999999998,4.3115,8.1954
351,39,5.35,1.9419499999999998,4.3115,8.1954
352,39,5.65,1.6785999999999999,4.5822,7.9394
353,39,5.65,1.6785999999999999,4.5822,7.9394
354,39,6.55,2.1870499999999997,5.3838,9.7579
355,39,6.55,2.1870499999999997,5.3838,9.7579
356,39,5.975,1.37595,4.8741,7.626
357,39,5.975,1.37595,4.8741,7.626
358,39,5.975,1.37595,4.8741,7.626
359,39,4.55,1.5784,3.5688,6.7256
360,39,4.55,1.5784,3.5688,6.7256
361,40,6.45,2.3693,3.0873,7.8259
362,40,6.45,2.3693,3.0873,7.8259
363,40,8.05,2.763,3.5183,9.0443
364,40,8.05,2.763,3.5183,9.0443
365,41,1.025,1.4316149999999999,0.52727,3.3905
366,41,1.025,1.4316149999999999,0.52727,3.3905
367,41,1.75,1.4739999999999998,1.0113,3.9593
368,41,1.75,1.4739999999999998,1.0113,3.9593
369,41,2.15,1.5185,1.4086,4.4456
370,41,2.5,1.50835,1.6762,4.6929
371,41,2.85,1.4981999999999998,1.9439,4.9403
372,41,3.75,1.4727999999999999,2.7813,5.7269
373,41,3.5875,1.43955,2.6673,5.5464
374,41,3.425,1.4063499999999998,2.5533,5.366
375,41,3.4375,1.4588500000000002,2.4892,5.4069
376,41,3.45,1.5113,2.4251,5.4477
377,41,3.55,1.7727,2.5351,6.0805
378,41,3.2375,1.5324999999999998,2.2797,5.3447
379,41,2.925,1.29235,2.0242,4.6089
380,41,2.9375,1.4393000000000002,1.8976,4.7762
381,41,2.95,1.5862500000000002,1.771,4.9435
382,42,0.45,1.4930999999986334,2.7331e-12,2.9862
383,42,0.35,1.5765499265249998,1.4695e-07,3.1531
384,42,0.25,1.65994985305,2.939e-07,3.3199
385,42,0.15,1.5716498836550001,2.3269e-07,3.1433
386,42,0.05,1.48334991426,1.7148e-07,2.9667
387,42,0.05,1.48334991426,1.7148e-07,2.9667
388,42,0.65,1.620949999999581,8.3803e-13,3.2419
389,42,0.65,1.620949999999581,8.3803e-13,3.2419
390,42,0.65,1.620949999999581,8.3803e-13,3.2419
391,42,0.05,1.65834991964,1.6072e-07,3.3167
392,42,0.05,1.65834991964,1.6072e-07,3.3167
393,42,0.05,1.65834991964,1.6072e-07,3.3167
394,43,0.75,1.975399956898,8.6204e-08,3.9508
395,43,0.75,1.975399956898,8.6204e-08,3.9508
396,43,0.75,1.975399956898,8.6204e-08,3.9508
397,43,0.75,1.975399956898,8.6204e-08,3.9508
398,43,1.05,1.4709000000000003,0.1591,3.1009
399,43,1.05,1.4709000000000003,0.1591,3.1009
400,43,1.2,1.7258200000000001,0.09616,3.5478
401,43,1.35,1.98079,0.03322,3.9948
402,43,1.45,2.189245,0.01661,4.3951
403,43,1.55,2.3976999395050003,1.2099e-07,4.7954
404,43,1.55,2.3976999395050003,1.2099e-07,4.7954
405,43,1.05,1.6446100000000001,0.21728,3.5065
406,43,1.05,1.6446100000000001,0.21728,3.5065
407,44,0.41,0.30710499999999996,0.12531,0.73952
408,44,0.44,0.30798000000000003,0.14284,0.7588
409,44,0.47,0.30885999999999997,0.16037,0.77809
410,45,0.15,1.2777660000000002,0.060268,2.6158
411,45,0.15,1.2777660000000002,0.060268,2.6158
412,45,0.15,1.2777660000000002,0.060268,2.6158
413,46,2.95,1.8800500000000002,1.9433,5.7034
414,46,2.95,1.8800500000000002,1.9433,5.7034
415,46,2.75,1.6880499999999998,1.653,5.0291
416,47,2.025,0.84785,1.1791,2.8748
417,47,6.575,1.2843499999999999,4.7796,7.3483
418,47,7.75,1.3701499999999998,5.6716,8.4119
419,47,9.05,1.1581499999999996,7.1542,9.4705
420,47,9.675,0.9406499999999998,7.9872,9.8685
421,48,0.31,0.3110735,0.093043,0.71519
422,48,0.35,0.2935715,0.092507,0.67965
423,48,0.41,0.31027000000000005,0.14068,0.76122
424,48,0.39,0.312545,0.13422,0.75931
425,48,0.42,0.31188499999999997,0.15926,0.78303
426,48,0.4075,0.292695,0.15444,0.73983
427,48,0.345,0.28337500000000004,0.11501,0.68176
428,48,0.385,0.27466,0.21104,0.76036
429,48,0.385,0.27466,0.21104,0.76036
430,49,0.45,0.30667500000000003,0.18024,0.79359
431,49,0.49,0.30788,0.18676,0.80252
432,49,0.53,0.309095,0.19327,0.81146
433,50,0.55,0.307305,0.20335,0.81796
434,50,0.55,0.307305,0.20335,0.81796
435,50,0.44333,0.299755,0.16198,0.76149
436,50,0.41667,0.29983000000000004,0.15489,0.75455
437,50,0.47,0.307545,0.18206,0.79715
438,51,0.675,1.30028,0.22834,2.8289
439,51,0.575,1.2212250000000002,0.20745,2.6499
440,51,0.375,1.06302,0.16566,2.2917
441,51,0.45,1.102035,0.19583,2.3999
442,51,0.525,1.1410500000000001,0.226,2.5081
443,52,0.2,1.5864565,0.041987,3.2149
444,52,0.65,1.785461,0.015278,3.5862
445,52,0.675,1.62428,0.13224,3.3808
446,52,0.05,1.2891055,0.048889,2.6271
447,52,0.3625,1.2877275,0.024445,2.5999
448,52,0.9125,1.4063999542265,9.1547e-08,2.8128
449,52,1.15,1.526499966374,6.7252e-08,3.053
450,52,0.05,1.3391499579610002,8.4078e-08,2.6783
451,52,0.2,1.6244499553644998,8.9271e-08,3.2489
452,52,0.65,1.8858999635575,7.2885e-08,3.7718
453,52,0.65,1.8858999635575,7.2885e-08,3.7718
454,53,0.075,0.654262,0.028376,1.3369
455,53,0.075,0.654262,0.028376,1.3369
456,54,0.885,0.6728350000000001,0.31533,1.661
457,54,0.3675,0.65652,0.13506,1.4481
458,54,0.2925,0.671235,0.11673,1.4592
459,54,0.585,0.7317549999999999,0.24199,1.7055
460,55,0.48,0.30976499999999996,0.1768,0.79633
461,55,0.47667,0.30816999999999994,0.18502,0.80136
462,55,0.53,0.30885999999999997,0.18676,0.80448
463,55,0.47,0.30558,0.18835,0.79951
464,56,0.775,0.9170500000000001,0.3657,2.1998
465,56,0.775,0.9170500000000001,0.3657,2.1998
466,56,2.325,1.4209500000000002,1.6911,4.533
467,56,2.325,1.4209500000000002,1.6911,4.533
468,57,0.49,0.29541,0.21566,0.80648
469,57,0.44,0.30135,0.17113,0.77383
470,57,0.39,0.30728999999999995,0.1266,0.74118
471,58,0.61,0.444705,0.23759,1.127
472,58,0.57,0.44657499999999994,0.21425,1.1074
473,58,0.53,0.44850000000000007,0.1909,1.0879
474,58,0.53,0.43386,0.17448,1.0422
475,58,0.53,0.43386,0.17448,1.0422
476,58,0.585,0.47501499999999997,0.17517,1.1252
477,59,0.825,1.3140999999999998,0.3067,2.9349
478,59,0.84167,1.27141,0.31788,2.8607
479,59,0.9,1.224025,0.37385,2.8219
480,59,0.925,1.2619149999999997,0.40747,2.9313
481,60,0.825,1.32296,0.31978,2.9657
482,60,0.825,1.32296,0.31978,2.9657
483,60,0.825,1.32296,0.31978,2.9657
484,61,4.25,1.95355,3.2427,7.1498
485,61,4.05,1.8955499999999998,3.2117,7.0028
486,61,4.05,1.8955499999999998,3.2117,7.0028
487,61,4.35,1.9079499999999998,3.4521,7.268
488,61,4.6,1.8272,3.6654,7.3198
489,61,4.85,1.7464,3.8788,7.3716
490,61,3.65,1.7597,2.8423,6.3617
491,61,3.05,1.788,2.2071,5.7831
492,61,2.3,1.72395,1.483,4.9309
493,61,1.55,1.65983,0.75894,4.0786
494,61,1.35,1.7290200000000002,0.68126,4.1393
495,61,1.35,1.7290200000000002,0.68126,4.1393
496,62,4.625,1.2236500000000001,3.7157,6.163
497,62,4.625,1.2236500000000001,3.7157,6.163
498,62,4.625,1.2236500000000001,3.7157,6.163
499,62,4.375,1.2599500000000001,3.4613,5.9812
500,62,4.125,1.2963000000000002,3.2068,5.7994
501,63,0.63,0.347335,0.25734,0.95201
502,63,0.6,0.355105,0.21154,0.92175
503,63,0.57,0.34789,0.18027,0.87605
504,63,0.57,0.36860000000000004,0.22944,0.96664
505,63,0.5,0.364535,0.18889,0.91796
506,63,0.43,0.360475,0.14834,0.86929
507,63,0.47,0.35873,0.17158,0.88904
508,63,0.47,0.35873,0.17158,0.88904
509,64,0.575,1.207555,0.40579,2.8209
510,64,0.6,1.0229899999999998,0.44932,2.4953
511,64,0.625,0.83842,0.49286,2.1697
512,64,0.35,0.77656,0.26138,1.8145
513,64,0.075,0.714651,0.029898,1.4592
514,65,1.125,1.3209750000000002,0.61215,3.2541
515,65,1.125,1.3209750000000002,0.61215,3.2541
516,65,1.125,1.3209750000000002,0.61215,3.2541
517,65,0.125,0.8157425,0.043115,1.6746
518,65,0.125,0.8157425,0.043115,1.6746
519,66,1.1,2.7963950000000004,0.46571,6.0585
520,66,1.1,2.7963950000000004,0.46571,6.0585
521,66,1.1,2.7963950000000004,0.46571,6.0585
522,67,1.95,2.3021499999999997,1.1965,5.8008
523,67,1.6,2.243835,0.92323,5.4109
524,67,1.25,2.185535,0.64993,5.021
525,68,0.37,0.31144499999999997,0.10409,0.72698
526,68,0.37,0.31144499999999997,0.10409,0.72698
527,68,0.38333,0.30977,0.12398,0.74352
528,68,0.39,0.30893,0.13393,0.75179
529,69,0.55,1.5327800000000003,0.19464,3.2602
530,69,0.55,1.5327800000000003,0.19464,3.2602
531,70,0.555,0.707905,0.15919,1.575
