along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry,interpolation_method,centroid_longitude_deg,centroid_latitude_deg
4,0,173.54143825162893,-42.597808506031335,173.43794459882275,-42.70921393464831,19.243177556995974,22.524693311554813,4.2758675116613585,"POLYGON Z ((1623840.9591888 5279729.99690557 -22524.6933115548, 1635864.03924716 5271382.70990542 -19243.177556996, 1644418.54227089 5283704.25518258 -19243.177556996, 1632395.46221252 5292051.54218272 -22524.6933115548, 1623840.9591888 5279729.99690557 -22524.6933115548))",2d_linear_centroids_interior,173.41614619163153,-42.61622755579583
4,1,173.40661001210168,-42.51469741097345,173.29892200715815,-42.62384041436952,22.55969900128422,26.872522172315232,4.59386232323793,"POLYGON Z ((1612940.50297439 5289426.08315779 -26872.5221723152, 1624512.74896608 5280912.40715955 -22559.6990012842, 1633401.77130784 5292994.84407466 -22559.6990012842, 1621829.52531614 5301508.52007291 -26872.5221723152, 1612940.50297439 5289426.08315779 -26872.5221723152))",2d_linear_centroids_interior,173.28214345133358,-42.53114126095341
4,2,173.2747377898859,-42.43497897619777,173.15959752535758,-42.53979573105994,26.82700070892956,32.427739377552406,4.008509105927088,"POLYGON Z ((1602330.72146024 5299081.52360604 -32427.7393775524, 1613105.19400554 5290275.7035002 -26827.0007089296, 1622597.52359655 5301890.16340739 -26827.0007089296, 1611823.05105125 5310695.98351323 -32427.7393775524, 1602330.72146024 5299081.52360604 -32427.7393775524))",2d_linear_centroids_interior,173.15156826948234,-42.4478552680436
4,3,173.14740293386845,-42.356207560865336,173.02776421086725,-42.45813098917286,32.50023918177099,39.1873285732671,2.024499669795055,"POLYGON Z ((1592161.47858146 5308178.39952761 -39187.3285732671, 1602282.7992089 5299355.60494615 -32500.239181771, 1612139.24271121 5310662.70543592 -32500.239181771, 1602017.92208377 5319485.50001738 -39187.3285732671, 1592161.47858146 5308178.39952761 -39187.3285732671))",2d_linear_centroids_interior,173.0261158132377,-42.3674862860262
4,4,173.02414605168454,-42.27773861389102,172.9033776140019,-42.378829948994486,39.165261021782435,46.474846854671235,1.0875635977892266,"POLYGON Z ((1582240.13919248 5316841.44020618 -46474.8468546712, 1592045.60098813 5308156.80584854 -39165.2610217824, 1601990.99924505 5319385.74406688 -39165.2610217824, 1592185.5374494 5328070.37842451 -46474.8468546712, 1582240.13919248 5316841.44020618 -46474.8468546712))",2d_linear_centroids_interior,172.90436347505212,-42.28915856089917
4,0,173.81983599124698,-42.59386696294713,173.72005701994613,-42.7070968630073,16.65353248169283,18.638004549798772,3.822246715546316,"POLYGON Z ((1646579.81828044 5279679.8442182 -18638.0045497988, 1658968.79643724 5271459.4372428 -16653.5324816928, 1667262.1018238 5283958.2806199 -16653.5324816928, 1654873.123667 5292178.68759531 -18638.0045497988, 1646579.81828044 5279679.8442182 -18638.0045497988))",2d_linear_centroids_interior,173.69401476839067,-42.613963279182
4,1,173.68285679707836,-42.51122031185244,173.57629427116248,-42.620958628691604,18.6258134116688,21.580803035967403,6.815033147155436,"POLYGON Z ((1635377.70486491 5289778.80319028 -21580.8030359674, 1647260.56548882 5281114.75911648 -18625.8134116688, 1656097.78704946 5293235.13514564 -18625.8134116688, 1644214.92642555 5301899.17921944 -21580.8030359674, 1635377.70486491 5289778.80319028 -21580.8030359674))",2d_linear_centroids_interior,173.5568926303146,-42.52746518617533
4,2,173.5476282427021,-42.42901861674731,173.43523139650623,-42.53544602470191,21.653939850807753,25.78149243854269,7.029831010201403,"POLYGON Z ((1624431.21238216 5299626.30514787 -25781.4924385427, 1635741.10514863 5290679.25897349 -21653.9398508078, 1645047.41648636 5302443.29609029 -21653.9398508078, 1633737.52371989 5311390.34226467 -25781.4924385427, 1624431.21238216 5299626.30514787 -25781.4924385427))",2d_linear_centroids_interior,173.4224046425805,-42.44223330449056
4,3,173.4148488661373,-42.346201944663584,173.29994109768379,-42.4510613752124,25.835402127412667,31.383010741912553,5.78266502599575,"POLYGON Z ((1613883.48151173 5308929.1426983 -31383.0107419126, 1624664.21970237 5300097.39752958 -25835.4021274127, 1634169.96773252 5311700.87780005 -25835.4021274127, 1623389.22954188 5320532.62296878 -31383.0107419126, 1613883.48151173 5308929.1426983 -31383.0107419126))",2d_linear_centroids_interior,173.29176193497523,-42.35906247488385
4,4,173.28645449163884,-42.26418848763478,173.17186626248744,-42.36915304834379,31.38153077854956,37.97478792183022,3.8584361369475344,"POLYGON Z ((1603705.32762657 5317731.32735729 -37974.7879218302, 1614150.99443853 5309221.50919847 -31381.5307785496, 1623625.10784531 5320850.83313219 -31381.5307785496, 1613179.44103336 5329360.65129101 -37974.7879218302, 1603705.32762657 5317731.32735729 -37974.7879218302))",2d_linear_centroids_interior,173.16572826297684,-42.278473977444946
